"","Lon","Lat","X","Nimi","Type","Õppekeel","Aadress","x","y","ads_oid"
"39",24.7911661392878,59.4270911230228,69,"Tallinna Kivimurru Lasteaed","lasteaed","vene","Majaka tn 32, Lasnamäe linnaosa",544908,6587957,"ME00641106"
"40",24.7327247218164,59.4270074709133,71,"Tallinna Komeedi Lasteaed","lasteaed","eesti","Komeedi tn 3, Kesklinna linnaosa",541591,6587910,"ME00654546"
"41",24.7189004136924,59.4172361328543,75,"Tallinna Kristiine Lasteaed","lasteaed","eesti","Rästa põik 3, Kristiine linnaosa",540818,6586813,"ME00645511"
"42",24.73595889936,59.415202843044,76,"Tallinna Kullatera Lasteaed","lasteaed","eesti","Magdaleena tn 6, Kesklinna linnaosa",541789,6586597,"EE00642484"
"43",24.714760020387,59.4298082480104,77,"Tallinna Kullerkupu Lasteaed","lasteaed","eesti","Kullerkupu tn 10, Kristiine linnaosa",540568,6588211,"ME00644877"
"44",24.8804958988863,59.4525572497228,81,"Tallinna Kuristiku Lasteaed","lasteaed","vene","Läänemere tee 46, Lasnamäe linnaosa",549941,6590857,"ME02092755"
"45",24.6943570893903,59.399477109962,84,"Tallinna Lasteaed Delfiin","lasteaed","vene","J. Sütiste tee 4, Mustamäe linnaosa",539445,6584820,"ME00645433"
"46",24.6497037486415,59.4165456539962,85,"Tallinna Lasteaed Karikakar","lasteaed","eesti","Õismäe tee 22, Haabersti linnaosa",536890,6586696,"ME00641104"
"47",24.6192807310963,59.3549409316854,86,"Tallinna Lasteaed Kaseke","lasteaed","eesti","Kaskede pst 22, Nõmme linnaosa",535226,6579817,"ME01118123"
"48",24.6892332595591,59.4055364906696,87,"Tallinna Lasteaed Kiikhobu","lasteaed","eesti","A. H. Tammsaare tee 95, Mustamäe linnaosa",539147,6585492,"ME01656249"
"49",24.6875612803519,59.4011914774721,88,"Tallinna Lasteaed Kikas","lasteaed","eesti","Sõpruse pst 234, Mustamäe linnaosa",539057,6585007,"ME01656627"
"50",24.8275394737912,59.4347402743044,89,"Tallinna Lasteaed Kirsike","lasteaed","vene","Paekaare tn 76, Lasnamäe linnaosa",546962,6588834,"ME02101536"
"51",24.7141610009375,59.3750077133794,90,"Tallinna Lasteaed Kraavikrõll","lasteaed","eesti/ vene","Kraavi tn 10, Nõmme linnaosa",540599,6582106,"EE00644886"
"52",24.8443148653781,59.4382604629893,91,"Tallinna Lasteaed Laagna Rukkilill","lasteaed","eesti","Vilisuu tn 5, Lasnamäe linnaosa",547909,6589238,"ME02101689"
"53",24.6971000858457,59.4105489944945,92,"Tallinna Lasteaed Mooniõied","lasteaed","eesti","Kiili tn 6, Mustamäe linnaosa",539588,6586055,"ME01656626"
"54",24.7394523534723,59.444806735071,93,"Tallinna Lasteaed Mudila","lasteaed","eesti","Niine põik 5, Põhja-Tallinna linnaosa",541951,6589897,"ME00641856"
"55",24.6474065730555,59.3696441653864,94,"Tallinna Lasteaed Männimudila","lasteaed","eesti","Saha tn 19, Nõmme linnaosa",536810,6581470,"ME00648513"
"56",24.6700695141706,59.3737048318657,95,"Tallinna Lasteaed Nõmmekannike","lasteaed","eesti","Vabaduse pst 135a, Nõmme linnaosa",538094,6581935,"ME01654332"
"57",24.6635059974246,59.4008123118698,96,"Tallinna Lasteaed Pallipõnn","lasteaed","eesti","Akadeemia tee 50, Mustamäe linnaosa",537691,6584951,"ME00645424"
"58",24.64596087463,59.4086106854462,97,"Tallinna Lasteaed Pääsusilm","lasteaed","eesti","Järveotsa tee 51, Haabersti linnaosa",536686,6585810,"ME00641103"
"59",24.6406691958306,59.3667686719184,98,"Tallinna Lasteaed Rabarüblik","lasteaed","eesti","Raba tn 10, Nõmme linnaosa",536430,6581146,"ME00658830"
"60",24.6439961878697,59.4090063169177,99,"Tallinna Lasteaed Sinilill","lasteaed","vene","Järveotsa tee 49, Haabersti linnaosa",536574,6585853,"ME00645486"
"61",24.680765295269,59.4082377165291,100,"Tallinna Lasteaed Sinilind","lasteaed","eesti","A. H. Tammsaare tee 115, Mustamäe linnaosa",538663,6585788,"ME01656611"
"62",24.7458762373778,59.4290072591639,101,"Tallinna Lasteaed Sipsik","lasteaed","eesti","P. Süda tn 6, Kesklinna linnaosa",542335,6588141,"ME00654538"
"63",24.7418581272791,59.4159776367853,102,"Tallinna Lasteaed Südameke","lasteaed","eesti/ vene","Pärnu mnt 109a, Kesklinna linnaosa",542123,6586687,"EE03491919"
"64",24.6954147466534,59.3986815592939,103,"Tallinna Lasteaed Vesiroos","lasteaed","eesti","J. Sütiste tee 8, Mustamäe linnaosa",539506,6584732,"ME00644648"
"65",24.6437394555719,59.4159465929042,104,"Tallinna Lasteaed Vikerkaar","lasteaed","eesti","Õismäe tee 110, Haabersti linnaosa",536552,6586626,"ME00641093"
"66",24.6679831813609,59.3992995011937,105,"Tallinna Lasteaed Õunake","lasteaed","eesti/ vene","Ehitajate tee 23, Mustamäe linnaosa",537947,6584785,"ME01655506"
"67",24.7079908468907,59.3845746003262,106,"Tallinna Lastesõim Hellik","lasteaed","eesti","Vabaduse pst 38a, Nõmme linnaosa",540237,6583168,"ME00629885"
"68",24.680855648429,59.3809386495992,107,"Tallinna Lastesõim Mõmmik","lasteaed","eesti","Metsa tn 38, Nõmme linnaosa",538699,6582747,"ME00630590"
"69",24.6515895825144,59.3796506646937,108,"Tallinna Lauliku Lasteaed","lasteaed","eesti","Kivimäe tn 17, Nõmme linnaosa",537037,6582587,"ME00985296"
"70",24.6822491088225,59.4022963558064,109,"Tallinna Lehola Lasteaed","lasteaed","eesti/ vene","Mustamäe tee 187, Mustamäe linnaosa",538754,6585127,"ME01656636"
"71",24.7041672795607,59.4228006106963,110,"Tallinna Lepatriinu Lasteaed","lasteaed","eesti","Keemia tn 40, Kristiine linnaosa",539975,6587424,"ME00645500"
"72",24.7047450306334,59.402976699769,111,"Tallinna Lepistiku Lasteaed","lasteaed","eesti","Retke tee 4, Mustamäe linnaosa",540031,6585216,"ME01656628"
"73",24.8180654564879,59.4409127494541,112,"Tallinna Liikuri Lasteaed","lasteaed","vene","Liikuri tn 9, Lasnamäe linnaosa",546416,6589515,"ME00634024"
"74",24.6844590494646,59.3966025371863,113,"Tallinna Liivaku Lasteaed","lasteaed","eesti","J. Sütiste tee 56, Mustamäe linnaosa",538886,6584494,"ME00645414"
"75",24.754857115659,59.4287855106686,114,"Tallinna Liivalossi Lasteaed","lasteaed","eesti","Liivalaia tn 30, Kesklinna linnaosa",542845,6588122,"EE00640569"
"76",24.7681700311261,59.4276851407166,115,"Tallinna Liivamäe Lasteaed","lasteaed","eesti","Juhkentali tn 25, Kesklinna linnaosa",543602,6588008,"EE03491959"
