route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
harju_commercialbus_210,"210","Tallinn - Laagna - Maardu",,3,,,
harju_commercialbus_214,"214","Tallinn - Järveküla - Jüri",,3,,,
harju_commercialbus_214A,"214A","Tallinn - Järveküla - Jüri",,3,,,
harju_commercialbus_219,"219","Tallinn - Kurtna - Kiisa - Aespa - Entusiast",,3,,,
harju_commercialbus_221,"221","Tallinn - Laagna - Kärmu - Maardu",,3,,,
harju_commercialbus_229,"229","Tallinn  - Kose-Uuemõisa - Kose - Ravila - Vardja",,3,,,
harju_commercialbus_229A,"229A","Tallinn  - Kose - Ravila - Ardu",,3,,,
harju_commercialbus_237,"237","Tallinn - Vääna-Jõesuu - Keila-Joa - Lohusalu",,3,,,
harju_commercialbus_244,"244","Tallinn - Jüri - Aruküla",,3,,,
harju_commercialbus_244A,"244A","Tallinn - Jüri - Aruküla",,3,,,
harju_commercialbus_256,"256","Tallinn  - Riisipere - Nissi - Turba",,3,,,
harju_commercialbus_259,"259","Jüri - Raeküla - Assaku - Tallinn",,3,,,
harju_commercialbus_260,"260","Tallinn - Haabneeme - Rohuneeme",,3,,,
harju_commercialbus_285,"285","Tallinn - Laagna - Muuga - Maardu",,3,,,
harju_commercialbus_286,"286","Tallinn - Maardu",,3,,,
harju_commercialbus_288,"288","Tallinn - Pirita - Muuga aedlinn - Maardu",,3,,,
harju_train_ELR40,"ELR40","Tallinn - Aegviidu",,3,,,
harju_train_ELR5,"ELR5","Tallinn - Paldiski",,3,,,
harju_train_ELR51,"ELR51","Tallinn - Riisipere",,3,,,
harju_train_ELR52,"ELR52","Tallinn - Kloogaranna",,3,,,
harju_train_ELR53,"ELR53","Tallinn - Keila",,3,,,
harju_train_ELR7,"ELR7","Tallinn - Pääsküla",,3,,,
tallinna-lin_tram_1,"1","Kopli - Kadriorg",,900,,,
tallinna-lin_tram_2,"2","Kopli - Suur-Paala",,900,,,
tallinna-lin_tram_3,"3","Tondi - Kadriorg",,900,,,
tallinna-lin_tram_4,"4","Tondi - Lennujaam",,900,,,
tallinna-lin_trol_1,"1","Mustamäe - Kaubamaja",,800,,,
tallinna-lin_trol_3,"3","Mustamäe - Kaubamaja",,800,,,
tallinna-lin_trol_4,"4","Keskuse - Balti jaam",,800,,,
tallinna-lin_trol_5,"5","Mustamäe - Balti jaam",,800,,,
